gene_name,t_stat,fold_change,p_value,p_adjusted
Os05g0148600,4.491210597,0.354499295,2.16E-05,0.000154563
Os06g0625900,1.235507474,0.11504704,0.219966166,0.347123188
Os12g0621100,-3.197530094,-0.250450317,0.001933032,0.00718729
Os06g0148600,-6.541799442,-0.385100687,4.02E-09,1.08E-07
Os01g0913400,-1.497163934,-0.070963002,0.137968399,0.241591636
Os09g0465600,-1.664140264,-0.132914904,0.099680833,0.186536539
Os04g0584600,1.690488617,0.130360862,0.094513007,0.178812481
Os06g0473200,-3.533070835,-0.135203224,0.000659967,0.002903362
Os05g0399100,0.702667451,0.048536117,0.484138143,0.618935725
Os12g0481400,-0.407348251,-0.016860465,0.684752365,0.785351069
Os05g0305100,-2.830283924,-0.159700264,0.005774134,0.018167958
Os01g0690800,0.62677915,0.068181554,0.532444623,0.661665618
Os03g0196900,-5.672368616,-0.324595666,1.81E-07,2.63E-06
Os01g0169500,-5.436620339,-0.650704545,4.90E-07,6.16E-06
Os04g0523100,1.929799419,0.147758457,0.056888868,0.119393376
Os02g0132200,3.432572907,0.457272199,0.000917143,0.003833753
Os01g0934700,-5.346594852,-0.399465116,7.13E-07,8.43E-06
Os10g0463200,6.104534411,1.989967759,2.79E-08,5.52E-07
Os06g0287500,-2.478154648,-0.144605708,0.015136817,0.040280578
Os04g0188500,-1.94853625,-1.46129704,0.054572468,0.115437375
Os07g0655500,-5.241007659,-0.254636892,1.10E-06,1.22E-05
Os05g0495600,-0.515188639,-0.041643763,0.607727228,0.724108819
Os05g0122800,-0.273509298,-0.025176357,0.78510973,0.859191788
Os03g0597200,-1.016348101,-0.110278541,0.312280587,0.450526578
Os02g0216300,-2.443752305,-1.316684725,0.01655392,0.043404113
Os05g0227100,-0.24877901,-0.094704545,0.804117822,0.872578774
Os06g0158400,-4.035853464,-0.270498943,0.000116615,0.000661486
Os03g0700400,-3.373243531,-0.508844609,0.001110624,0.004503147
Os03g0269900,1.435124201,0.086602273,0.154835523,0.264560823
Os01g0817600,4.841046338,0.673770085,5.55E-06,4.79E-05
Os03g0748600,-0.829384436,-0.088044926,0.409155801,0.548908606
Os02g0110600,1.275895548,0.140631959,0.20538694,0.329534672
Os04g0266400,-4.11073239,-0.243644952,8.90E-05,0.000524098
Os04g0661600,-1.004885113,-0.06002766,0.317737739,0.456657431
Os04g0433600,0.824055777,0.043142882,0.412160347,0.551712845
Os01g0805300,8.086900588,0.716768323,3.29E-12,3.52E-10
Os05g0294800,-2.12103043,-0.240535412,0.036763338,0.084039799
Os03g0161800,-4.322350585,-0.293919134,4.09E-05,0.000268509
Os08g0191100,-5.364005502,-0.269329281,6.63E-07,7.96E-06
Os03g0197100,-2.864995556,-0.421467935,0.005226658,0.016712342
Os08g0407200,-6.542318302,-0.244570164,4.01E-09,1.08E-07
Os11g0629200,0.713467284,0.131595666,0.477465391,0.612645934
Os01g0229900,-2.500054073,-0.240574877,0.014292327,0.038397175
Os08g0522500,0.59706267,0.031597912,0.552015584,0.678397554
Os03g0214000,7.92306057,0.47029519,7.07E-12,6.56E-10
Os09g0526800,2.595108327,0.185906448,0.011096358,0.031193864
Os04g0382100,-2.859534885,-0.193041755,0.005309497,0.016937121
Os01g0967700,-0.99585434,-0.067882664,0.322081511,0.461124473
Os03g0205800,-1.18488728,-0.122190275,0.2392873,0.369241916
Os03g0337600,6.148058167,0.452379228,2.31E-08,4.71E-07
Os01g0830200,-4.256593524,-0.151248591,5.22E-05,0.000331117
Os01g0658500,1.420896102,0.08402907,0.158919776,0.270075061
Os12g0600100,-3.049082205,-0.267132664,0.00304058,0.010503888
Os04g0600400,-1.057008873,-0.066639535,0.293432522,0.430450667
Os12g0610800,8.679382649,1.618701903,2.03E-13,3.81E-11
Os10g0492300,-0.277118137,-0.017810782,0.782346489,0.857443045
Os04g0619600,-2.346088521,-0.125818534,0.021243737,0.053504561
Os01g0886200,3.036618277,0.075938953,0.003156398,0.010853753
Os10g0533500,3.372386281,0.546318182,0.001113682,0.004512323
Os06g0353700,-3.066059587,-0.446825053,0.002889157,0.010064146
Os03g0101000,-0.811206401,-0.339612051,0.419459955,0.558611458
Os04g0188400,-1.897114542,-1.427996829,0.061128849,0.126485475
Os04g0509600,-0.143201384,-0.033668075,0.886462148,0.928029049
Os05g0155200,-5.022175022,-0.477052502,2.69E-06,2.61E-05
Os02g0579800,-1.838020742,-0.257107294,0.069470799,0.139858737
Os06g0700300,4.974307341,0.808513742,3.26E-06,3.08E-05
Os08g0124100,-1.268584919,-0.426142178,0.207971589,0.332684163
Os03g0278300,1.323099194,0.075948555,0.189267838,0.309538371
Os08g0389500,2.103436746,0.100683404,0.038313642,0.086793252
Os01g0119000,3.461647202,0.492466966,0.000834375,0.003534132
Os01g0749100,3.742079251,0.249555497,0.000326632,0.00159448
Os08g0507400,2.90895374,0.465996476,0.004601848,0.014993409
Os04g0550500,5.432468877,0.307331501,4.98E-07,6.26E-06
Os12g0218100,-2.186349142,-0.534800211,0.03147366,0.074079332
Os08g0196700,-1.454346047,-0.139912262,0.149447174,0.257119851
Os06g0564500,1.852403722,0.163805849,0.067357468,0.136505359
Os04g0648700,-0.042646463,-0.006293869,0.96608104,0.979235569
Os12g0639100,-1.077147123,-0.059877907,0.284391018,0.419889995
Os02g0505400,-0.547316366,-0.026380285,0.585562104,0.70695183
Os03g0582000,0.051250445,0.008929528,0.959243393,0.975197545
Os12g0198400,-1.32143601,-0.345207188,0.189819177,0.310279034
Os06g0149400,-0.199362245,-0.010995772,0.842444403,0.898556915
Os02g0176700,-4.064538248,-0.300635307,0.000105197,0.000604332
Os10g0147400,-3.781228403,-0.522785588,0.00028552,0.001423687
Os01g0869900,1.760714206,0.138142881,0.081799329,0.159636177
Os03g0576400,0.276944579,0.024004228,0.782479316,0.857489215
Os02g0525100,1.342088178,0.122391649,0.183057955,0.301556004
Os10g0437600,-3.792414211,-0.209042283,0.000274711,0.001376809
Os08g0296900,-0.889069918,-0.063716173,0.376416151,0.516093729
Os01g0156600,1.744450239,0.108406448,0.084610708,0.163976909
Os04g0496300,1.661226189,0.288840381,0.100266207,0.187333322
Os03g0238600,-0.138454907,-0.009133853,0.89020074,0.930488442
Os12g0230200,-1.176758542,-0.076697674,0.242500125,0.372759664
Os01g0921600,-3.333993233,-0.154342495,0.001259069,0.005004867
Os01g0147200,-1.404268849,-0.036497093,0.163797251,0.276524859
Os03g0131200,-3.231078321,-0.903981897,0.00174155,0.006591997
Os01g0620300,-0.655137771,-0.049496829,0.514106853,0.646010303
Os08g0385000,-2.91356864,-0.34794556,0.004540409,0.014825591
Os11g0142300,0.39699945,0.017437104,0.692339683,0.7909824
Os09g0132200,-0.276336196,-0.010886364,0.782944976,0.857787744
Os02g0266800,-2.560903922,-0.146258721,0.012163358,0.033612167
Os01g0265400,-1.117962944,-0.149242336,0.266659109,0.400083695
Os09g0526600,-2.453532334,-0.47215451,0.016139464,0.042454782
Os09g0112400,0.151531494,0.013208245,0.879907147,0.924054004
Os02g0498000,0.685340085,0.025299683,0.494950624,0.628386241
Os02g0804500,1.404225165,0.097968816,0.163810215,0.276530285
Os01g0114500,1.272828751,0.047009514,0.20646829,0.330876576
Os06g0214300,1.852710584,0.239936047,0.067312972,0.136434683
Os08g0535800,-2.670590007,-0.206907637,0.009035092,0.026278858
Os10g0103700,0.320105175,0.037508281,0.749655785,0.833950286
Os07g0210000,-2.395178788,-0.097619979,0.018756485,0.048194549
Os03g0125300,-3.760701024,-0.233332452,0.000306419,0.001512736
Os08g0493800,3.557794016,0.252156977,0.000608085,0.002711559
Os04g0613700,6.945681982,0.77679704,6.48E-10,2.47E-08
Os11g0586900,3.639172497,0.340841438,0.00046326,0.002150054
