tx_id,tx_name,tx_chrom,tx_start,tx_end
1,Os01g0100100,1,2983,10815
2,Os01g0100200,1,11218,12435
3,Os01g0100400,1,12721,15685
4,Os01g0100500,1,16399,20144
5,Os01g0100600,1,22841,26892
6,Os01g0100700,1,27143,28644
7,Os01g0100800,1,29818,34453
8,Os01g0100900,1,35623,41136
9,Os01g0101200,1,62060,65537
10,Os01g0101300,1,63350,66302
11,Os01g0101600,1,72816,78349
12,Os01g0101700,1,82426,84095
13,Os01g0101800,1,85337,88844
14,Os01g0102000,1,89763,91465
15,Os01g0102300,1,134300,135439
16,Os01g0102400,1,139826,141555
17,Os01g0102500,1,141959,144554
18,Os01g0102600,1,145603,147847
19,Os01g0102700,1,148085,150568
20,Os01g0102800,1,152853,156449
21,Os01g0102900,1,169390,170316
22,Os01g0103000,1,170798,173144
23,Os01g0103100,1,178607,180575
24,Os01g0103400,1,185189,185828
25,Os01g0103600,1,186250,190904
26,Os01g0103700,1,191037,196287
27,Os01g0103800,1,197647,200803
28,Os01g0103900,1,201944,206202
29,Os01g0104000,1,206131,209606
30,Os01g0104100,1,209771,214173
31,Os01g0104200,1,216212,217345
32,Os01g0104400,1,226897,229301
33,Os01g0104500,1,241680,243440
34,Os01g0104600,1,248828,256872
35,Os01g0104800,1,261530,268145
36,Os01g0104900,1,270179,275084
37,Os01g0105300,1,284762,291892
38,Os01g0105400,1,288372,292296
39,Os01g0105700,1,303233,306736
40,Os01g0105800,1,306871,308842
41,Os01g0105900,1,309520,313170
42,Os01g0106200,1,319754,322205
43,Os01g0106300,1,322591,323923
44,Os01g0106400,1,327128,328450
45,Os01g0106500,1,331382,332345
46,Os01g0106600,1,332667,333689
47,Os01g0106700,1,335809,370652
48,Os01g0106800,1,371831,374412
49,Os01g0106900,1,374728,380713
50,Os01g0107000,1,383250,386648
51,Os01g0107400,1,392083,392578
52,Os01g0107700,1,412625,415823
53,Os01g0107900,1,416264,420497
54,Os01g0108000,1,422539,431217
55,Os01g0108200,1,441203,448951
56,Os01g0108400,1,455707,457425
57,Os01g0108500,1,460177,461371
58,Os01g0108600,1,478384,481165
59,Os01g0108700,1,482332,482955
60,Os01g0108800,1,483887,486492
61,Os01g0109000,1,495711,497253
62,Os01g0109300,1,498668,506233
63,Os01g0109500,1,510752,512142
64,Os01g0109700,1,513890,522448
65,Os01g0110100,1,537710,543354
66,Os01g0110200,1,543425,544510
67,Os01g0110400,1,549157,552574
68,Os01g0110500,1,554025,558015
69,Os01g0110700,1,562088,572092
70,Os01g0110800,1,576495,579569
71,Os01g0111200,1,588917,593714
72,Os01g0111300,1,597009,597804
73,Os01g0111400,1,598290,601467
74,Os01g0111500,1,603643,605643
75,Os01g0111600,1,612564,615631
76,Os01g0111700,1,620572,621516
77,Os01g0111800,1,624087,624759
78,Os01g0111900,1,625986,627009
79,Os01g0112000,1,632139,632790
80,Os01g0112100,1,635325,639015
81,Os01g0112300,1,640698,644217
82,Os01g0112400,1,645598,646722
83,Os01g0112500,1,648288,651869
84,Os01g0112600,1,677029,677602
85,Os01g0113000,1,700533,706399
86,Os01g0113200,1,720673,723317
87,Os01g0113300,1,723693,726099
88,Os01g0113400,1,731150,738020
89,Os01g0113500,1,734071,737556
90,Os01g0113600,1,738283,741797
91,Os01g0113700,1,742860,745177
92,Os01g0113800,1,745452,748945
93,Os01g0113900,1,752080,754992
94,Os01g0114100,1,767181,769673
95,Os01g0114200,1,770284,774374
96,Os01g0114300,1,770332,773829
97,Os01g0114400,1,774727,775743
98,Os01g0114500,1,780870,782675
99,Os01g0114600,1,786373,788619
100,Os01g0114700,1,789714,792435
101,Os01g0114800,1,792455,796419
102,Os01g0115100,1,804097,806932
103,Os01g0115200,1,808373,808859
104,Os01g0115300,1,808174,810139
105,Os01g0115600,1,843530,847399
106,Os01g0115700,1,852249,854568
107,Os01g0115800,1,862579,865249
108,Os01g0115900,1,865938,869298
109,Os01g0116100,1,865786,869533
110,Os01g0116200,1,911735,914246
111,Os01g0116300,1,915605,917636
112,Os01g0116400,1,921078,923630
113,Os01g0116600,1,929884,934458
114,Os01g0116900,1,924451,956639
115,Os01g0117000,1,957907,960626
116,Os01g0117100,1,961799,965151
117,Os01g0117300,1,979238,980546
118,Os01g0117400,1,984510,985133
119,Os01g0117500,1,987676,990745
120,Os01g0117600,1,994712,997262
121,Os01g0117700,1,997918,1000997
122,Os01g0117800,1,1002459,1007068
123,Os01g0117900,1,1010259,1012400
124,Os01g0118000,1,1016065,1019435
125,Os01g0118100,1,1024186,1030112
126,Os01g0118300,1,1046604,1053166
127,Os01g0118400,1,1057177,1059852
128,Os01g0118600,1,1066678,1069673
129,Os01g0119000,1,1078565,1081597
130,Os01g0119100,1,1090194,1092825
131,Os01g0119500,1,1103782,1106890
132,Os01g0119800,1,1125645,1127402
133,Os01g0120300,1,1145920,1153828
134,Os01g0120400,1,1155293,1158444
135,Os01g0120500,1,1160198,1164619
136,Os01g0120600,1,1165737,1168396
137,Os01g0120700,1,1168737,1171126
138,Os01g0120800,1,1171902,1179370
139,Os01g0121000,1,1181317,1182147
140,Os01g0121100,1,1183466,1186699
141,Os01g0121200,1,1186667,1191013
142,Os01g0121300,1,1198687,1203502
143,Os01g0121500,1,1217319,1218116
144,Os01g0121600,1,1223134,1223887
145,Os01g0121700,1,1224012,1230500
146,Os01g0121800,1,1232493,1236760
147,Os01g0122000,1,1249881,1251421
148,Os01g0122200,1,1254028,1255635
149,Os01g0123500,1,1328172,1329191
150,Os01g0123900,1,1338241,1339098
151,Os01g0124000,1,1341368,1342277
152,Os01g0124100,1,1345118,1346047
153,Os01g0124200,1,1347665,1348723
154,Os01g0124600,1,1363710,1364282
155,Os01g0124700,1,1365703,1366502
156,Os01g0125500,1,1395980,1396825
157,Os01g0125600,1,1404816,1406889
158,Os01g0125700,1,1410987,1413093
159,Os01g0125800,1,1413839,1418982
160,Os01g0125900,1,1421693,1427650
161,Os01g0126000,1,1433755,1434955
162,Os01g0126100,1,1433996,1436809
163,Os01g0126200,1,1437163,1445599
164,Os01g0126600,1,1447690,1450473
165,Os01g0127000,1,1490494,1492334
166,Os01g0127100,1,1490993,1492680
167,Os01g0127200,1,1497241,1500606
168,Os01g0127300,1,1504037,1508057
169,Os01g0127400,1,1508213,1510771
170,Os01g0127600,1,1515837,1516714
171,Os01g0127700,1,1518247,1521601
172,Os01g0127900,1,1534135,1539601
173,Os01g0128000,1,1549241,1551011
174,Os01g0128100,1,1562618,1566554
175,Os01g0128200,1,1566147,1569467
176,Os01g0128300,1,1569644,1570940
177,Os01g0128400,1,1571479,1576596
178,Os01g0128700,1,1597486,1598510
179,Os01g0128800,1,1598995,1605729
180,Os01g0129200,1,1625159,1626574
181,Os01g0129500,1,1641272,1644151
182,Os01g0129600,1,1657306,1658388
183,Os01g0129800,1,1670475,1670997
184,Os01g0130000,1,1673503,1677066
185,Os01g0130100,1,1673866,1674692
186,Os01g0130200,1,1685427,1685810
187,Os01g0130400,1,1698203,1703090
188,Os01g0130500,1,1700523,1702512
189,Os01g0130900,1,1712137,1712947
190,Os01g0131300,1,1738868,1739820
191,Os01g0131600,1,1746416,1748544
192,Os01g0131800,1,1754374,1757590
193,Os01g0132000,1,1760310,1761065
194,Os01g0132100,1,1765373,1768669
195,Os01g0132200,1,1771497,1772410
196,Os01g0132400,1,1776044,1778105
197,Os01g0132500,1,1781075,1782386
198,Os01g0132700,1,1787870,1791456
199,Os01g0132800,1,1813011,1817601
200,Os01g0133100,1,1834110,1836549
201,Os01g0133200,1,1838282,1839194
202,Os01g0133400,1,1844263,1849102
203,Os01g0133500,1,1849887,1856251
204,Os01g0133700,1,1865027,1866109
205,Os01g0133900,1,1869773,1870408
206,Os01g0134200,1,1876913,1879901
207,Os01g0134500,1,1888525,1892262
208,Os01g0134700,1,1902741,1904902
209,Os01g0134800,1,1906717,1908131
210,Os01g0134900,1,1912561,1915094
211,Os01g0135600,1,1928167,1930288
212,Os01g0135700,1,1931016,1931904
213,Os01g0135800,1,1934117,1934924
214,Os01g0135900,1,1941012,1941851
215,Os01g0136000,1,1944276,1944948
216,Os01g0136100,1,1948773,1949587
217,Os01g0136200,1,1951930,1952681
218,Os01g0136300,1,1955181,1955914
219,Os01g0136400,1,1957847,1967451
220,Os01g0136500,1,1962884,1963627
221,Os01g0136600,1,1970071,1970782
222,Os01g0136700,1,1971228,1975465
223,Os01g0136800,1,1977423,1982484
224,Os01g0137200,1,1993553,1994320
225,Os01g0137300,1,2000724,2003913
226,Os01g0137400,1,1988716,2003083
227,Os01g0137500,1,2014791,2018248
228,Os01g0137700,1,2023879,2026177
229,Os01g0138100,1,2046146,2053048
230,Os01g0138300,1,2048717,2052514
231,Os01g0138400,1,2053583,2057636
232,Os01g0138600,1,2063615,2065995
233,Os01g0138800,1,2071843,2073609
234,Os01g0138900,1,2074795,2077903
235,Os01g0139000,1,2080112,2081303
236,Os01g0139100,1,2082783,2083097
237,Os01g0139200,1,2084490,2087203
238,Os01g0139600,1,2097192,2100692
239,Os01g0139700,1,2102113,2102672
240,Os01g0139900,1,2108961,2109677
241,Os01g0140100,1,2120489,2122320
242,Os01g0140400,1,2131013,2137293
243,Os01g0140500,1,2137800,2138539
244,Os01g0141000,1,2202278,2203787
245,Os01g0141100,1,2215662,2222812
246,Os01g0141600,1,2245732,2250435
247,Os01g0141700,1,2250838,2255073
248,Os01g0141900,1,2261501,2266230
249,Os01g0142100,1,2266281,2271051
250,Os01g0142200,1,2271163,2273724
251,Os01g0142300,1,2275239,2278860
252,Os01g0142500,1,2281913,2284775
253,Os01g0142600,1,2292239,2294340
254,Os01g0142800,1,2294904,2298329
255,Os01g0143100,1,2350069,2353502
256,Os01g0143300,1,2357871,2360437
257,Os01g0143400,1,2361799,2363814
258,Os01g0143700,1,2372323,2374066
259,Os01g0143800,1,2374541,2376761
260,Os01g0143900,1,2377369,2377984
261,Os01g0144000,1,2378825,2382584
262,Os01g0144100,1,2383611,2385593
263,Os01g0144200,1,2386373,2388597
264,Os01g0144600,1,2403276,2405947
265,Os01g0144700,1,2406475,2408051
266,Os01g0144800,1,2414271,2415072
267,Os01g0144900,1,2416643,2418825
268,Os01g0145200,1,2434793,2438772
269,Os01g0145600,1,2453742,2456495
270,Os01g0146200,1,2500280,2501248
271,Os01g0146600,1,2530890,2531390
272,Os01g0146700,1,2540287,2540763
273,Os01g0147200,1,2560897,2565321
274,Os01g0147300,1,2568051,2570029
275,Os01g0147700,1,2579565,2583575
276,Os01g0147800,1,2584986,2587547
277,Os01g0147900,1,2589835,2593568
278,Os01g0148000,1,2599732,2603593
279,Os01g0148100,1,2613672,2623190
280,Os01g0148200,1,2629374,2630050
281,Os01g0148400,1,2632618,2637829
282,Os01g0148500,1,2641000,2644665
283,Os01g0148700,1,2652648,2655564
